Asset ID,Type,File path,Cue key,Bus,Origin / design,Licence,Variation,Looping
SFX_DEBRIS_CLEAR_04,SFX,assets/audio/sfx/debris_clear/debris_clear_04.wav,debris_clear,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/5,one-shot
SFX_DEBRIS_CLEAR_05,SFX,assets/audio/sfx/debris_clear/debris_clear_05.wav,debris_clear,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 5/5,one-shot
SFX_DOOR_REPAIR_01,SFX,assets/audio/sfx/door_repair/door_repair_01.wav,door_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_DOOR_REPAIR_02,SFX,assets/audio/sfx/door_repair/door_repair_02.wav,door_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_DOOR_REPAIR_03,SFX,assets/audio/sfx/door_repair/door_repair_03.wav,door_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_DOOR_REPAIR_04,SFX,assets/audio/sfx/door_repair/door_repair_04.wav,door_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_WINDOW_BOARD_01,SFX,assets/audio/sfx/window_board/window_board_01.wav,window_board,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/6,one-shot
SFX_WINDOW_BOARD_02,SFX,assets/audio/sfx/window_board/window_board_02.wav,window_board,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/6,one-shot
SFX_WINDOW_BOARD_03,SFX,assets/audio/sfx/window_board/window_board_03.wav,window_board,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/6,one-shot
SFX_WINDOW_BOARD_04,SFX,assets/audio/sfx/window_board/window_board_04.wav,window_board,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/6,one-shot
SFX_WINDOW_BOARD_05,SFX,assets/audio/sfx/window_board/window_board_05.wav,window_board,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 5/6,one-shot
SFX_WINDOW_BOARD_06,SFX,assets/audio/sfx/window_board/window_board_06.wav,window_board,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 6/6,one-shot
SFX_GENERATOR_START_01,SFX,assets/audio/sfx/generator_start/generator_start_01.wav,generator_start,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_GENERATOR_START_02,SFX,assets/audio/sfx/generator_start/generator_start_02.wav,generator_start,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_GENERATOR_START_03,SFX,assets/audio/sfx/generator_start/generator_start_03.wav,generator_start,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_TRAP_DEPLOY_01,SFX,assets/audio/sfx/trap_deploy/trap_deploy_01.wav,trap_deploy,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_TRAP_DEPLOY_02,SFX,assets/audio/sfx/trap_deploy/trap_deploy_02.wav,trap_deploy,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_TRAP_DEPLOY_03,SFX,assets/audio/sfx/trap_deploy/trap_deploy_03.wav,trap_deploy,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_TRAP_DEPLOY_04,SFX,assets/audio/sfx/trap_deploy/trap_deploy_04.wav,trap_deploy,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_FENCE_REPAIR_01,SFX,assets/audio/sfx/fence_repair/fence_repair_01.wav,fence_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/4,one-shot
SFX_FENCE_REPAIR_02,SFX,assets/audio/sfx/fence_repair/fence_repair_02.wav,fence_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/4,one-shot
SFX_FENCE_REPAIR_03,SFX,assets/audio/sfx/fence_repair/fence_repair_03.wav,fence_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/4,one-shot
SFX_FENCE_REPAIR_04,SFX,assets/audio/sfx/fence_repair/fence_repair_04.wav,fence_repair,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/4,one-shot
SFX_FOOTSTEP_DIRT_01,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_01.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/8,one-shot
SFX_FOOTSTEP_DIRT_02,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_02.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/8,one-shot
SFX_FOOTSTEP_DIRT_03,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_03.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/8,one-shot
SFX_FOOTSTEP_DIRT_04,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_04.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/8,one-shot
SFX_FOOTSTEP_DIRT_05,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_05.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 5/8,one-shot
SFX_FOOTSTEP_DIRT_06,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_06.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 6/8,one-shot
SFX_FOOTSTEP_DIRT_07,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_07.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 7/8,one-shot
SFX_FOOTSTEP_DIRT_08,SFX,assets/audio/sfx/footstep_dirt/footstep_dirt_08.wav,footstep_dirt,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 8/8,one-shot
SFX_FOOTSTEP_INTERIOR_01,SFX,assets/audio/sfx/footstep_interior/footstep_interior_01.wav,footstep_interior,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/8,one-shot
SFX_FOOTSTEP_INTERIOR_02,SFX,assets/audio/sfx/footstep_interior/footstep_interior_02.wav,footstep_interior,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/8,one-shot
